,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
67,2021-04-13,47356.83984375,47544.19140625,47138.33984375,47503.7109375,171055700,0.0,0.0
68,2021-04-14,47949.1484375,48380.75,47848.66015625,48329.83984375,148201400,0.0,0.0
69,2021-04-15,48322.98046875,48685.44140625,48195.30859375,48514.1015625,160703400,0.0,0.0
70,2021-04-16,48513.33984375,48947.19140625,48412.44140625,48726.98046875,129972900,0.0,0.0
71,2021-04-19,48712.01953125,48759.76171875,48029.7109375,48072.62109375,114200400,0.0,0.0
72,2021-04-20,48073.44140625,48559.171875,47877.7109375,48528.96875,150164800,0.0,0.0
73,2021-04-21,48476.609375,49021.62890625,48476.609375,48867.62109375,144621700,0.0,0.0
74,2021-04-22,48961.05078125,49161.19140625,48663.53125,49092.30859375,187482600,0.0,0.0
75,2021-04-23,49087.0390625,49226.26171875,48760.2109375,49091.08984375,155930600,0.0,0.0
76,2021-04-26,49188.0,49313.3203125,48862.421875,48923.9296875,125390100,0.0,0.0
77,2021-04-27,49115.078125,49399.62109375,48744.87109375,48812.171875,157373800,0.0,0.0
78,2021-04-28,48840.921875,48988.1796875,48432.5703125,48487.94140625,115918500,0.0,0.0
79,2021-04-29,48799.87109375,49364.37890625,48714.0703125,48897.7890625,171030900,0.0,0.0
80,2021-04-30,48671.26953125,48911.8984375,47924.1015625,48009.71875,238308000,0.0,0.0
81,2021-05-03,48191.6796875,48585.48828125,48191.6796875,48498.640625,91968600,0.0,0.0
82,2021-05-04,48498.71875,48528.390625,48089.5703125,48328.19921875,141953800,0.0,0.0
83,2021-05-05,48366.26953125,48723.80078125,48341.37109375,48399.80078125,114072200,0.0,0.0
84,2021-05-06,48570.640625,49006.26953125,48456.37890625,48934.91015625,241871300,0.0,0.0
85,2021-05-07,48988.671875,49440.87890625,48894.828125,49249.01953125,123993500,0.0,0.0
86,2021-05-10,49295.9609375,50124.6015625,49295.9609375,49867.1484375,118903200,0.0,0.0
87,2021-05-11,49542.78125,49704.62109375,49226.23046875,49655.2890625,118784100,0.0,0.0
88,2021-05-12,49675.578125,49675.578125,48707.578125,48748.41015625,122382500,0.0,0.0
89,2021-05-13,48906.1015625,49179.1015625,48704.23828125,48829.30859375,123511700,0.0,0.0
90,2021-05-14,48829.58984375,49365.62109375,48829.58984375,49219.26171875,91084600,0.0,0.0
91,2021-05-17,49223.359375,49401.5703125,49049.828125,49371.98046875,107674600,0.0,0.0
92,2021-05-18,49500.19140625,49973.828125,49486.91015625,49789.30859375,150170300,0.0,0.0
93,2021-05-19,49563.58984375,49563.58984375,48906.3203125,49382.25,141399100,0.0,0.0
94,2021-05-20,49604.96875,49980.4609375,49160.05859375,49907.359375,281425100,0.0,0.0
95,2021-05-21,49975.9609375,49997.8203125,49376.53125,49778.80859375,89459300,0.0,0.0
96,2021-05-24,49847.30078125,49853.76953125,49352.0703125,49457.9296875,70692000,0.0,0.0
97,2021-05-25,49450.19921875,49515.171875,48781.828125,48826.94921875,113002700,0.0,0.0
98,2021-05-26,48931.69140625,49254.609375,48907.6796875,49103.5,142775700,0.0,0.0
99,2021-05-27,49188.01953125,49727.80078125,49148.05859375,49627.94921875,487953200,0.0,0.0
100,2021-05-28,49784.98828125,50111.66015625,49411.0390625,50040.73828125,125683000,0.0,0.0
101,2021-05-31,50023.390625,51066.859375,49952.80078125,50885.94921875,56300100,0.0,0.0
102,2021-06-01,50943.23828125,51037.421875,50603.26171875,50722.3515625,155835500,0.0,0.0
103,2021-06-02,50762.4609375,51077.2890625,50666.9609375,50749.640625,166555600,0.0,0.0
104,2021-06-03,50716.01953125,50768.30078125,50249.109375,50628.76953125,150542500,0.0,0.0
105,2021-06-04,50629.3203125,50683.4609375,50222.91015625,50484.3515625,115113400,0.0,0.0
106,2021-06-07,50500.9609375,51705.23046875,50493.73828125,51427.640625,155900000,0.0,0.0
107,2021-06-08,51391.51953125,51391.51953125,50703.9609375,50865.2109375,144818900,0.0,0.0
108,2021-06-09,50853.19921875,50975.578125,50670.3203125,50823.30078125,121780500,0.0,0.0
109,2021-06-10,50938.640625,51194.83984375,50782.62109375,50886.328125,97691100,0.0,0.0
110,2021-06-11,51052.8984375,51434.75,50948.890625,51286.4609375,105546200,0.0,0.0
111,2021-06-14,51293.62109375,51322.62109375,50982.51953125,51029.5390625,84788000,0.0,0.0
112,2021-06-15,51092.73828125,51097.19921875,50807.58984375,50908.1796875,145221100,0.0,0.0
113,2021-06-16,50944.12890625,50951.76953125,50419.1015625,50579.1015625,143164200,0.0,0.0
114,2021-06-17,50599.94140625,50952.3203125,49995.078125,50202.80078125,178430900,0.0,0.0
115,2021-06-18,50121.08984375,50522.109375,49848.05078125,50319.5703125,420633700,0.0,0.0
116,2021-06-21,50320.12890625,50447.3203125,50107.05859375,50315.69140625,89256100,0.0,0.0
117,2021-06-22,50391.1796875,50437.75,49832.109375,50129.87890625,99972900,0.0,0.0
118,2021-06-23,50164.078125,50531.76171875,50044.390625,50170.78125,141137000,0.0,0.0
119,2021-06-24,50316.671875,50682.12890625,50040.73828125,50558.3203125,162838200,0.0,0.0
120,2021-06-25,50496.859375,50690.12109375,50434.5390625,50549.859375,116876100,0.0,0.0
121,2021-06-28,50568.33984375,50677.5703125,50103.75,50351.2109375,86499200,0.0,0.0
122,2021-06-29,50326.0,50444.62109375,50156.12890625,50337.359375,154947000,0.0,0.0
123,2021-06-30,50350.6484375,50469.98828125,50020.23046875,50289.75,147098800,0.0,0.0
124,2021-07-01,50244.01953125,50541.8515625,50118.80859375,50376.890625,108643200,0.0,0.0
125,2021-07-02,50351.26953125,50360.4609375,50162.71875,50223.01171875,88286200,0.0,0.0
126,2021-07-05,50239.28125,50609.3984375,50239.28125,50552.80078125,20040000,0.0,0.0
127,2021-07-06,50598.76171875,50598.76171875,49643.9609375,50048.890625,121858900,0.0,0.0
128,2021-07-07,50129.01171875,50219.4609375,49757.94140625,50052.91015625,124804600,0.0,0.0
129,2021-07-08,49791.51171875,49791.51171875,49355.12890625,49570.87109375,144305200,0.0,0.0
130,2021-07-09,49524.890625,49994.5,49524.890625,49768.3515625,81984500,0.0,0.0
131,2021-07-12,49743.44921875,49878.44140625,49516.3984375,49789.12109375,76648400,0.0,0.0
132,2021-07-13,49848.76171875,49892.26953125,49074.73046875,49274.96875,91260500,0.0,0.0
133,2021-07-14,49424.109375,49520.421875,49177.01171875,49435.87890625,164546700,0.0,0.0
134,2021-07-15,49527.1796875,50429.8984375,49494.8984375,50274.8515625,131898000,0.0,0.0
135,2021-07-16,50226.671875,50243.80078125,49780.3203125,50148.12890625,102484000,0.0,0.0
136,2021-07-19,49960.78125,49960.78125,48598.08984375,49096.46875,132901500,0.0,0.0
137,2021-07-20,49208.44140625,49546.30078125,49136.6484375,49256.96875,96872600,0.0,0.0
